Add Text,Ajouter du texte
Apply Background,appliquer fond
Choose Art,Choisissez Art
Add Title,Ajouter le titre
Add,ajouter
Background,fond
Image,image
Art,art
Add Image,Ajouter une image
Choose Product,Choisissez un produit
Edit,Modifier
Edit Panel,Edit Panel
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Dissocier fait une superposition de niveau , de le faire encore en couches , dissocier à nouveau jusqu'à ce que vous pouvez sélectionner l'élément que vous voulez changer la couleur pour ."
Select any layer to change color of complete layer.,Sélectionnez une couche à changer de couleur de la couche complète .
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Vous pouvez ajouter un seul élément (ie Smiley, texte , image ) à la fois."
Please select the element to edit/delete it.,S'il vous plaît sélectionner l'élément à modifier / supprimer.
You can change the designer product directly from here,Vous pouvez modifier le produit de concepteur directement ici
Note: But the changes you made in the previous product wont be saved.,Remarque: Mais les modifications apportées dans le produit précédent habitude être sauvés.
Select any color from the dropdown to change color of the design area. ,Choisissez n'importe quelle couleur dans le menu déroulant pour changer la couleur de la zone de conception .
You can also change the font and the color of the font.,Vous pouvez également changer la police et la couleur de la police .
You can add text from here,Vous pouvez ajouter du texte à partir d'ici
You can add title from here,Vous pouvez ajouter un titre à partir d'ici
Upload Images,Télécharger des images
Upload images from your local storage.,Télécharger des images à partir de votre stockage local .
Choose and click the image you want to use in design.,Choisissez et cliquez sur l'image que vous voulez utiliser dans la conception .
You can resize and rotate the image further using editing controls.,Vous pouvez redimensionner et faire pivoter l'image en outre l'utilisation des contrôles d'édition .
Images Gallery,Galerie d'images
ADD TO CART,Ajouter au panier
APPLY BACKGROUND COLOR,Appliquer la couleur de fond
Add Art,Ajouter Art
ADD IMAGE,Ajouter une image
Apply Background Color,Appliquer la couleur de fond
Change Text Color,Changer la couleur du texte
Change Text Size,Modifier la taille du texte
Your Name,votre nom
Font Style,style de police
Change Title Color,Modifier le titre Couleur
Change Title Size,Changer le Titre Taille
Your Title,votre titre
QTY,Antall
Item number,Artikkelnummer
ADD IMAGE,Legg til bilde
Add Image,Legg til bilde
Last opp bilder fra din lokal lagring.,Last opp bilde fra din harddisk (on information box for images)
In cart - NAME TITLE,Navn Title - Tittel
Clear handlevogn,Tøm handlevogn
Personilized,Tilpass ditt PenHygenic skilt
Product code,Artikkelnummer
Text Font Style,Texte Style de police 
Your Text,votre texte
Add file,Ajouter un fichier
Upload,Télécharger
Choosing new product will scrap your existing design in design area. Do you want to proceed?,Choisir nouveau produit abandonner votre conception existante dans la zone de designs. Voulez-vous procéder?
Emotions,Passions 
Animals,Animaux 
Family,Famille 
Flowers,Fleurs
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Dissocier fait une superposition de niveau, de le faire encore en couches, dissocier à nouveau jusqu'à ce que vous sélectionnez la couleur finale que vous souhaitez modifier."
No files to upload,Pas de fichiers à télécharger
Title Font Style,Titre Style de police
Change Scissor Colour,Changement ciseaux Couleur
Add Scissor,Ajouter ciseaux
Change Product,Changement Produit
Change Scissor Color,Changement ciseaux couleur
text colour,la couleur du texte
