"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Uppmärksamhet </ strong>: Captcha är små bokstäver." 
"After number of attempts to login","Efter flera försök att logga in" 
"Always","Alltid" 
"CAPTCHA","CAPTCHA" 
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuter)" 
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA för" "Skapa användare" "och" "Glömt lösenord" "former är alltid aktiv om vald" 
"Case Sensitive","Små och stora bokstäver" 
"Displaying Mode","Visar Läge" 
"Enable CAPTCHA in Admin","Aktivera CAPTCHA i Admin" 
"Enable CAPTCHA on Frontend","Aktivera CAPTCHA på Frontend" 
"Font","Teckensnitt" 
"Forms","Formulär" 
"If 0 is specified, CAPTCHA on the Login form will be always available.","Om 0 anges, CAPTCHA på in-formuläret kommer alltid vara tillgänglig." 
"Incorrect CAPTCHA.","Felaktig CAPTCHA." 
"Number of Symbols","Antal symboler" 
"Number of Unsuccessful Attempts to Login","Antalet misslyckade försök att logga in" 
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specificera 8 symboler som mest. Tillåtet område (t.ex. 3-5)" 
"Please type the letters below","Skriv bokstäverna nedan" 
"Please type the letters from the image:","Skriv in bokstäverna från bilden:" 
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Vänligen använd endast bokstäver (az eller AZ) och siffror (0-9) på detta område. Inga mellanslag eller andra tecken är tillåtna. <br /> Liknande ser tecken (t.ex.""i"",""l"", ""1"") minskar risken för korrekt erkännande av kunden."
"Reload captcha","Ladda om captcha" 
"Symbols Used in CAPTCHA","Symboler som används i CAPTCHA"
