Add Text,Text hinzufügen
Apply Background,Bewerben Hintergrund
Choose Art,Wählen Kunst
Add Title,Titel hinzufügen
Add,hinzufügen
Background,Hintergrund
Image,Bild
Art,Kunst
Add Image,Bild hinzufügen
Choose Product,Produkt wählen
Edit,Bearbeiten
Edit Panel,Steuerung bearbeiten
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Gruppierung aufheben tut eine Ebene Schichtung , so zu tun, die weitere Schichtung , Gruppierung aufheben , bis wieder können Sie das Element, das Sie Farbe ändern möchten."
Select any layer to change color of complete layer.,Wählen Sie eine beliebige Schicht Farbe der kompletten Schicht ändern.
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Sie können nur ein Element (dh Smiley, Text, Bild ) zu einem Zeitpunkt hinzufügen."
Please select the element to edit/delete it.,Bitte wählen Sie das Element zu bearbeiten / löschen.
You can change the designer product directly from here,Sie können das Produkt direkt vom Designer ändern
Note: But the changes you made in the previous product wont be saved.,"Hinweis: Aber die Änderungen, die Sie in der vorherigen Produkt gemacht wird nicht gespeichert werden."
Select any color from the dropdown to change color of the design area. ,Wählen Sie eine Farbe aus der Dropdown-Liste Farbe des Designbereich ändern.
You can also change the font and the color of the font.,Sie können auch die Schriftart und die Farbe der Schrift ändern.
You can add text from here,Sie können Text von hier hinzufügen
You can add title from here,Sie können Titel aus hier hinzufügen
Upload Images,Bilder hochladen
Upload images from your local storage.,Laden Sie Bilder von Ihrem lokalen Speicher.
Choose and click the image you want to use in design.,"Wählen und klicken Sie auf das Bild, das Sie in Design verwenden möchten."
You can resize and rotate the image further using editing controls.,Sie können die Größe und drehen Sie das Bild mit weiteren Bearbeitungsmöglichkeiten .
Images Gallery,Bilder -Galerie
ADD TO CART,In den Warenkorb
APPLY BACKGROUND COLOR,Bewerben Sie Hintergrund-Farbe
Add Art,Kunst hinzufügen
ADD IMAGE,Bild hinzufügen
Apply Background Color,Bewerben Sie Hintergrund-Farbe
Change Text Color,Ändern Sie Textfarbe
Change Text Size,Ändern Sie Textgröße
Your Name,Ihr Name
Font Style,Schriftstil
Change Title Color,Ändern Titel Farbe
Change Title Size,Ändern Titel Größe
Your Title,Ihre Titel
QTY,Antall
Item number,Artikkelnummer
Information,Informationen
Text Font Style,Text Schriftstil
Your Text,Ihr Text
Add file,Datei hinzufügen 
Upload,laden
Choosing new product will scrap your existing design in design area. Do you want to proceed?,Die Wahl neue Produkt wird Ihr bestehendes Design in den Designbereich verschrotten. Wollen Sie fortfahren?
Emotions,Emotionen 
Animals,Tiere 
Family,Familie 
Flowers,Blumen
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Gruppierung aufheben tut eine Ebene Schichtung, so zu tun, die weitere Schichtung, Gruppierung aufheben wieder, bis Sie die letzte Farbe, die Sie ändern möchten."
No files to upload,Es werden keine Dateien hochladen
Title Font Style,Titel Schriftstil
Please Select Option,Bitte wählen Option
Add Scissor,Scissor hinzufügen
Change Scissor Colour,Änderung Scissor Farbe
Change Product,Ändern Artikel
Change Scissor Color,Änderung Scissor Farbe
text colour,Textfarbe
