"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Captcha-und Kleinschreibung."
"After number of attempts to login","Nach der Anzahl der Versuche, um sich anzumelden"
"Always","immer"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (Minuten)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA für "" Benutzer anlegen "" und "" Passwort vergessen "" Formen ist immer aktiviert, wenn gewählt"
"Case Sensitive","Case Sensitive"
"Displaying Mode","Anzeige-Modus"
"Enable CAPTCHA in Admin","Aktivieren CAPTCHA in Admin"
"Enable CAPTCHA on Frontend","Aktivieren CAPTCHA auf Frontend"
"Font","Schriftart"
"Forms","Formulare"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Wenn 0 angegeben wird, wird CAPTCHA auf der Login-Formular immer verfügbar sein."
"Incorrect CAPTCHA.","Falsche CAPTCHA."
"Number of Symbols","Anzahl der Symbole"
"Number of Unsuccessful Attempts to Login","Anzahl von Fehlversuchen zum Login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Bitte geben Sie 8 Symbole auf der am besten. Bereich erlaubt (z. B. 3-5)"
"Please type the letters below","Bitte geben Sie die folgenden Buchstaben"
"Please type the letters from the image:","Bitte geben Sie die Buchstaben aus dem Bild:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bitte nur Buchstaben (az oder AZ) oder Ziffern (0-9) in diesem Bereich. Keine Leerzeichen oder andere Zeichen sind erlaubt. <br /> Ähnliche aussehende Zeichen (zB "" i "", "" l "", "" 1 "") verringern Chance auf korrekte Erkennung von Kunden."
"Reload captcha","es neu zu laden"
"Symbols Used in CAPTCHA","Symbole in CAPTCHA Gebraucht"
