Add Text,Lägg till text
Apply Background,Applicera bakgrund
Choose Art,Välj Art
Add Title,Lägg Titel
Add,Lägg
Background,bakgrund
Image,Bild
Art,Art
Add Image,Lägg till bild
Choose Product,Välj Produkt
Edit,Redigera
Edit Panel,Redigera Panel
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Dela upp gör en nivå skiktning , så för att göra ytterligare skiktning , dela upp igen tills du kan välja det element som du vill ändra färg på ."
Select any layer to change color of complete layer.,Markera alla lager för att ändra färg på hela lagret .
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Du kan lägga till bara en del ( dvs. Smiley , text , bild ) åt gången ."
Please select the element to edit/delete it.,Välj det element för att redigera / ta bort det .
You can change the designer product directly from here,Du kan ändra designern produkten direkt härifrån
Note: But the changes you made in the previous product wont be saved.,Notera : Men de ändringar du gjort i den tidigare produkten brukar sparas .
Select any color from the dropdown to change color of the design area. ,Välj en färg från listan för att ändra färg på designområdet .
You can also change the font and the color of the font.,Du kan också ändra teckensnitt och färg på teckensnittet .
You can add text from here,Du kan lägga till text härifrån
You can add title from here,Du kan lägga till titeln härifrån
Upload Images,Ladda upp bilder
Upload images from your local storage.,Ladda upp bilder från din lokala lagring .
Choose and click the image you want to use in design.,Välj och klicka på den bild du vill använda i designen .
You can resize and rotate the image further using editing controls.,Du kan ändra storlek och rotera bilden ytterligare med hjälp av redigeringskontroller.
Images Gallery,Fotogalleri
ADD TO CART,Lägg i varukorgen
APPLY BACKGROUND COLOR,Applicera Bakgrundsfärg
Add Art,Lägg Art
ADD IMAGE,Lägg till bild
Apply Background Color,Applicera Bakgrundsfärg
Change Text Color,Ändra Textfärg
Change Text Size,Ändra Textstorlek
Your Name,ditt namn
Font Style,Teckensnitt
Change Title Color,Ändra Titel Färg
Change Title Size,Ändra Titel Storlek
Your Title,Din titel
QTY,Antall
Item number,Artikkelnummer
Information,Information
Text Font Style,Text Font Style
Your Text,Din text
Add file,Lägg till fil
Upload,Ladda upp
Choosing new product will scrap your existing design in design area. Do you want to proceed?,Att välja ny produkt kommer att skrota din befintliga design i designområdet. Vill du fortsätta?
Emotions,känslor
Animals,Djur
Family,Familj
Flowers,Blommor
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Dela upp gör en nivå skiktning, så för att göra ytterligare skiktning, dela upp igen tills du välja den slutliga färgen som du vill ändra."
No files to upload,Inga filer att ladda upp
Title Font Style,Titel Font Style
Add Scissor,Lägg saxar
Change Scissor Colour,Förändring saxar Färg
Change Product,Ändra produkt
Change Scissor Color,Förändring saxar Färg
text colour,Textfärg
Extra Text,Textstorlek namn
Additional Text,ytterligare text
Giftcard,Presentkort
Giftcard Title,Presentkort
Please note that: Converting to cash is not allowed. You can use the Gift card code or redeem it to credit balance to pay for your order at http://78.129.130.249/~vaktromm,Observera att: Konvertera till kontanter är inte tillåtet. Du kan använda presentkortet koden eller lösa in den till tillgodohavande att betala för din beställning på http://78.129.130.249/~vaktromm
Recommended size: ,Rekommenderad storlek:
"Support gif, jpg, png files.","Stöd gif, jpg, png filer."
Support gif,Stöd gif
png files,png filer
Or upload your photo,Eller ladda upp ditt foto
Available PMS codes,Tillgängliga PMS koder
You have selected ,Du har valt
color,färg
FAQ,fråga Svar
More Info.,Läs mer
What is PayPal?,Vad är PayPal?
Frequently Asked Question,Vanliga frågor
support,stop
If there is an account associated with %s you will receive an email with a link to reset your password.,Om det finns ett konto som är kopplat %s får du ett e-postmeddelande med en länk för att återställa ditt lösenord.
Gift Card,Present kort
Use Gift Card to check out,Använd presentkort att checka ut
"Use your Gift card(s) to pay for this order",Använd din Presentkort) att betala för denna ordning
Enter a Gift Card code,Ange ett presentkort kod
"To check your Gift card information, please click","För att kontrollera ditt Presentkort information, klicka"
Please enter your code,Ange din kod
Apply Gift Card,Applicera presentkort
Fill in the Fields below to complete your purchase!,Fyll i fälten nedan för att slutföra köpet!
LOGIN HERE,LOGGA IN HÄR
Name & Address,Namn och adress
Private,Privat
Business,Företag
Zip,Postnr
By,Postort
Enter your coupon code:,Ange kupongkoden :
Place Order Now,Skicka beställning
Create an account for later use,Skapa ett konto för senare användning
"Note that white font on light background colors and black font on dark background colors can be difficult to read. In addition, the colors of the badge can differ slightly from the colors on the screen.","Observera att vit skrift på ljus bakgrund och svart skrift på mörk bakgrund kan vara svårt att läsa. Dessutom kan färgerna i skylten skilja sig något från färgerna på skärmen."
