"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Attention </ strong>: Captcha est sensible à la casse."
"After number of attempts to login","Après plusieurs tentatives pour connecter"
"Always","toujours"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA pour "" Créer un utilisateur "" et "" Mot de passe "" formes est toujours activée si elle est choisie"
"Case Sensitive","sensible à la casse"
"Displaying Mode","afficher le Mode"
"Enable CAPTCHA in Admin","Activer CAPTCHA dans Admin"
"Enable CAPTCHA on Frontend","Activer CAPTCHA sur Frontend"
"Font","fonte"
"Forms","formulaires"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si 0 est spécifié, CAPTCHA sur le formulaire de connexion sera toujours disponible"
"Incorrect CAPTCHA.","CAPTCHA Mauvaise."
"Number of Symbols","Nombre de symboles"
"Number of Unsuccessful Attempts to Login","Nombre de tentatives infructueuses de connexion"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","S'il vous plaît indiquer 8 symboles au plus. Plage autorisée (par exemple 3-5)"
"Please type the letters below","S'il vous plaît taper les lettres ci-dessous"
"Please type the letters from the image:","S'il vous plaît entrer les lettres de l'image:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","S'il vous plaît utiliser uniquement des lettres (a - z ou A - Z) ou des chiffres (0-9) dans ce domaine. Pas d'espaces ou d'autres caractères sont autorisés. <br /> Caractères similaires à la recherche (par exemple "" i "", "" l "", "" 1 "") diminuer chance de reconnaissance correcte par le client."
"Reload captcha","recharger captcha"
"Symbols Used in CAPTCHA","Symboles utilisés dans CAPTCHA"
