"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Attention </ strong>: Captcha er case sensitive."
"After number of attempts to login","Etter flere forsøk på å logge"
"Always","alltid"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutter)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA for ""Opprett bruker"" og ""Glemt passord"" former er alltid aktivert hvis valgt"
"Case Sensitive","sak Sensitive"
"Displaying Mode","Viser Mode"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
"Enable CAPTCHA on Frontend","Aktiver CAPTCHA på Frontend"
"Font","Font"
"Forms","skjemaer"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 er angitt, vil CAPTCHA på innloggingsskjemaet alltid være tilgjengelig."
"Incorrect CAPTCHA.","Feil CAPTCHA."
"Number of Symbols","Antall symboler"
"Number of Unsuccessful Attempts to Login","Antall mislykkede forsøk på å logge inn"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Vennligst oppgi åtte symboler på det meste. Range tillatt (f.eks 3-5)"
"Please type the letters below","Vennligst skriv bokstavene nedenfor"
"Please type the letters from the image:","Vennligst skriv inn bokstavene fra bildet:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bruk kun bokstaver (az eller AZ) eller tall (0-9) i dette feltet. Ingen mellomrom eller andre tegn er tillatt. <br /> Lignende ser tegn (f.eks ""i"", ""L"", ""1"") redusere sjansen for riktig anerkjennelse av kunden."
"Reload captcha","Last captcha"
"Symbols Used in CAPTCHA","Symboler brukt i CAPTCHA"
