"Account login","cuenta de inicio de sesión"
"Account password","contraseña de la cuenta"
"Active","activo"
"Add Attribute Mapping","Añadir la correlación de atributos"
"Add New Attribute","Añadir nuevo atributo"
"Add to Google Base","Añadir a Google Base"
"Are you sure?","¿Está seguro?"
"Attribute","atributo"
"Attribute Set","Conjunto de atributos"
"Attribute Set and Item Type","Conjunto de atributos y de tipo de elemento"
"Attributes","Atributos"
"Attributes mapping","Atributos de asignación"
"Attributes Set","Atributos Set"
"AuthSub","AuthSub"
"Available Products","Productos disponibles"
"British Pound Sterling","Libra esterlina británica"
"Cannot update Google Base Item for Store '%s'","No se puede actualizar Google Punto Base de tienda '%s '"
"Captcha confirmation error: %s","Error confirmación Captcha :%s"
"Captcha confirmed successfully","Captcha confirmó con éxito"
"Clicks","clicks"
"ClientLogin","ClientLogin"
"Confirm","confirmar"
"Current Mapping will be reloaded. Continue?","Asignación actual se volverá a cargar . ¿Desea continuar?"
"Custom attribute, no mapping","Atributo personalizado , ninguna asignación"
"Default Store (%s)","Tienda predeterminada (%s )"
"Delete","borrar"
"Delete Mapping","Eliminar asignación"
"Edit Item Type","Editar tipo de artículo"
"Edit Item Type ""%s""","Editar tipo de artículo ""%s """
"Error: %s","Error :%s"
"Euro","euro"
"Expires","expira"
"Germany","Alemania"
"Google Base","Google Base"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","Google Base ID"
"Google Base Item type","Google Base Tipo de ítem"
"Google Base Item Type","Google Base Tipo de artículo"
"Google Base Items","Los productos que Google Base"
"Hide","ocultar"
"Impr.","IMPR ."
"Invalid Product Model for Google Base Item","Inválido Modelo Producto para la partida de Google Base"
"Item model is not specified to delete Google Base entry","Modelo del artículo no se ha especificado para eliminar la entrada de Google Base"
"Item Type was deleted","Tipo de artículo se ha suprimido"
"Item type was successfully saved","Tipo de ítem se ha guardado correctamente"
"Item Types","Tipos de Elementos"
"Items","Artículos"
"Manage Attribute Mapping","Gestione la correlación de atributos"
"Manage Attributes","Gestione Atributos"
"Manage Items","Gestionar Elementos"
"New Item Type","Nuevo Tipo de artículo"
"No","no"
"No items were deleted from Google Base","No hay elementos fueron eliminados de Google Base"
"No items were published","No hay artículos se publicaron"
"No items were saved as Inactive items","No hay elementos se guardan como elementos inactivos"
"No products were added to Google Base","Ningún producto se añadieron a Google Base"
"Object model is not specified to save Google Base entry","Modelo de objetos no está especificado para salvar Google Base entrada"
"Page views","páginas vistas"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor , seleccione Atributo Establecer y tipo Google elemento para cargar los atributos"
"Product Name","Nombre del producto"
"Publish","publicar"
"Published","publicado"
"Remove","eliminar"
"Save Mapping","Ahorra Mapping"
"Synchronize","sincronizar"
"Target Country","A País"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción se actualizará artículos estadísticas y eliminar los elementos que no están disponibles en Google Base. ¿Desea continuar?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d Total de artículos (s) d han sido borrados correctamente , Total de % de los artículos (s) d se ha actualizado correctamente"
"Total of %d items(s) were successfully published","%d  Total de artículos (s) d se publicaron con éxito"
"Total of %d items(s) were successfully removed from Google Base","%d  Total de artículos (s) d se eliminaron con éxito de Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d  Total de artículos (s) d se salvaron con éxito como elementos inactivos"
"Total of %d product(s) were successfully added to Google Base","%d  Total de producto ( s ) d se ha añadido correctamente a Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","No se puede conectar a Google Base. Por favor , compruebe la configuración de la cuenta en la configuración."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Actualizar elemento de Google Base cuando el producto se actualiza"
"US Dollar","EE.UU. Dólar"
"View Available Products","Ver Productos disponibles"
"View Item in Google Base","Ver artículo en Google Base"
"Yes","sí"
