Add Text,Text hinzufügen
Apply Background,Bewerben Hintergrund
Choose Art,Wählen Kunst
Add Title,Titel hinzufügen
Add,hinzufügen
Background,Hintergrund
Image,Bild
Art,Kunst
Add Image,Bild hinzufügen
Choose Product,Produkt wählen
Edit,Bearbeiten
Edit Panel,Steuerung bearbeiten
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Gruppierung aufheben tut eine Ebene Schichtung , so zu tun, die weitere Schichtung , Gruppierung aufheben , bis wieder können Sie das Element, das Sie Farbe ändern möchten."
Select any layer to change color of complete layer.,Wählen Sie eine beliebige Schicht Farbe der kompletten Schicht ändern.
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Sie können nur ein Element (dh Smiley, Text, Bild ) zu einem Zeitpunkt hinzufügen."
Please select the element to edit/delete it.,Bitte wählen Sie das Element zu bearbeiten / löschen.
You can change the designer product directly from here,Sie können das Produkt direkt vom Designer ändern
Note: But the changes you made in the previous product wont be saved.,"Hinweis: Aber die Änderungen, die Sie in der vorherigen Produkt gemacht wird nicht gespeichert werden."
Select any color from the dropdown to change color of the design area. ,Wählen Sie eine Farbe aus der Dropdown-Liste Farbe des Designbereich ändern.
You can also change the font and the color of the font.,Sie können auch die Schriftart und die Farbe der Schrift ändern.
You can add text from here,Sie können Text von hier hinzufügen
You can add title from here,Sie können Titel aus hier hinzufügen
Upload Images,Bilder hochladen
Upload images from your local storage.,Laden Sie Bilder von Ihrem lokalen Speicher.
Choose and click the image you want to use in design.,"Wählen und klicken Sie auf das Bild, das Sie in Design verwenden möchten."
You can resize and rotate the image further using editing controls.,Sie können die Größe und drehen Sie das Bild mit weiteren Bearbeitungsmöglichkeiten .
Images Gallery,Bilder -Galerie
ADD TO CART,In den Warenkorb
APPLY BACKGROUND COLOR,Bewerben Sie Hintergrund-Farbe
Add Art,Kunst hinzufügen
ADD IMAGE,Bild hinzufügen
Apply Background Color,Bewerben Sie Hintergrund-Farbe
Change Text Color,Ändern Sie Textfarbe
Change Text Size,Ändern Sie Textgröße
Your Name,Ihr Name
Font Style,Schriftstil
Change Title Color,Ändern Titel Farbe
Change Title Size,Ändern Titel Größe
Your Title,Ihre Titel
QTY,Antall
Item number,Artikkelnummer
Information,Informationen
Text Font Style,Text Schriftstil
Your Text,Ihr Text
Add file,Datei hinzufügen
Upload,laden
Choosing new product will scrap your existing design in design area. Do you want to proceed?,Die Wahl neue Produkt wird Ihr bestehendes Design in den Designbereich verschrotten. Wollen Sie fortfahren?
Emotions,Emotionen
Animals,Tiere
Family,Familie
Flowers,Blumen
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Gruppierung aufheben tut eine Ebene Schichtung, so zu tun, die weitere Schichtung, Gruppierung aufheben wieder, bis Sie die letzte Farbe, die Sie ändern möchten."
No files to upload,Es werden keine Dateien hochladen
Title Font Style,Titel Schriftstil
Please Select Option,Bitte wählen Option
Add Scissor,Scissor hinzufügen
Change Scissor Colour,Änderung Scissor Farbe
Change Product,Ändern Artikel
Change Scissor Color,Änderung Scissor Farbe
text colour,Textfarbe
Please note that: Converting to cash is not allowed. You can use the Gift card code or redeem it to credit balance to pay for your order at http://78.129.130.249/~vaktromm,Bitte beachten Sie dass: Konvertieren in bar ist nicht zulässig. Sie können die Geschenkkarte Code zu nutzen oder sie zu erlösen, um Guthaben für Ihre Bestellung bei http://78.129.130.249/~vaktromm bezahlen
Recommended size: ,Empfohlene Größe:
Support gif,Unterstützung gif
png files,pNG-Dateien
Or upload your photo,Oder laden Sie Ihr Foto
Send Gift Card to friend,Senden Sie Gift Card an einen Freund
Sender name (optional):,Name des Absenders (optional):
Recipient name:,Empfänger Name:
Recipient email address:,Empfänger E-Mail-Adresse:
Send through post office,Durch Post senden
You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address.,Sie müssen in der Adresse Ihres Freundes wie die Lieferadresse auf Kauf-Seite ausfüllen. Wir werden diese Geschenk-Karte an diese Adresse.
Custom message,benutzerdefinierte Nachricht
Characters Remaining: ,Übrige Zeichen:
Get notification email when your friend receives Gift Card,Erhalten Sie E-Mail-Benachrichtigung, wenn Ihr Freund erhält Geschenkkarte
Day to send,Tag senden
Preview Gift Card,Vorschau Gift Card
Value,Wert
Available PMS codes,Erhältlich PMS-Codes
You have selected ,Sie haben gewählt
color,Farbe
Thank you for registering with %s.,Danke für die Registrierung MIT %s.
You are now logged out,Sie sind nun abgemeldet
You have logged out and will be redirected to our homepage in 5 seconds.,Sie haben sich abgemeldet und wird in 5 Sekunden auf unsere Homepage weitergeleitet.
FAQ,Frage Antwort
More Info.,Mehr Info
What is PayPal?,Was ist PayPal?
Frequently Asked Question,HÄUFIG GESTELLTE FRAGEN
If there is an account associated with %s you will receive an email with a link to reset your password.,Wenn ein Konto zugeordnet %s Sie eine E-Mail mit einem Link erhalten, wird Ihr Passwort zurücksetzen können.
