"Account login","påloggingskonto"
"Account password","konto passord"
"Active","aktiv"
"Add Attribute Mapping","Legg Egenskap Mapping"
"Add New Attribute","Legg til nytt attributt"
"Add to Google Base","Legg til Google Base"
"Are you sure?","Er du sikker ?"
"Attribute","attributt"
"Attribute Set","attributt Set"
"Attribute Set and Item Type","Attributt Set og elementtype"
"Attributes","attributter"
"Attributes mapping","attributter kartlegging"
"Attributes Set","attributter Set"
"AuthSub","AuthSub"
"Available Products","tilgjengelige produkter"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Kan ikke oppdatere Google Base element for Store ' %s'"
"Captcha confirmation error: %s","Captcha bekreftelse error : %s"
"Captcha confirmed successfully","Captcha bekreftet vellykket"
"Clicks","klikk"
"ClientLogin","ClientLogin"
"Confirm","bekreft"
"Current Mapping will be reloaded. Continue?","Nåværende Mapping vil lastes på nytt . Fortsett ?"
"Custom attribute, no mapping","Custom attributt , ingen kartlegging"
"Default Store (%s)","Standard Store ( %s )"
"Delete","Slett"
"Delete Mapping","Slett Mapping"
"Edit Item Type","Rediger elementtype"
"Edit Item Type ""%s""","Rediger element type "" %s """
"Error: %s","Feil : %s"
"Euro","euro"
"Expires","utløper"
"Germany","Tyskland"
"Google Base","Google Base"
"Google Base Attribute","Google Base Egenskap"
"Google Base ID","Google Base ID"
"Google Base Item type","Google Base Varetype"
"Google Base Item Type","Google Base Produkttype"
"Google Base Items","Google Base Items"
"Hide","Skjul"
"Impr.","Impr ."
"Invalid Product Model for Google Base Item","Ugyldig produkt modell for Google Base Element"
"Item model is not specified to delete Google Base entry","Sak modell er ikke spesifisert til å slette Google Base oppføring"
"Item Type was deleted","Produkttype ble slettet"
"Item type was successfully saved","Varetype ble lagret"
"Item Types","Elementtyper"
"Items","elementer"
"Manage Attribute Mapping","Administrer Egenskap Mapping"
"Manage Attributes","Administrer attributter"
"Manage Items","Behandle elementer"
"New Item Type","Nytt element type"
"No","Nei"
"No items were deleted from Google Base","Ingenting ble slettet fra Google Base"
"No items were published","Ingenting ble publisert"
"No items were saved as Inactive items","Ingenting ble lagret som Inaktive elementer"
"No products were added to Google Base","Ingen produkter ble lagt til Google Base"
"Object model is not specified to save Google Base entry","Objektmodellen er ikke spesifisert for å redde Google Base oppføring"
"Page views","sidevisninger"
"Please, select Attribute Set and Google Item Type to load attributes","Vennligst velg attributtsett og Google Produkttype å laste attributter"
"Product Name","Produktnavn"
"Publish","Publish"
"Published","publisert"
"Remove","Fjern"
"Save Mapping","lagre Mapping"
"Synchronize","Synkroniser"
"Target Country","Målgruppe Land"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denne handlingen vil oppdatere elementer statistikk og fjerne elementer som ikke er tilgjengelige i Google Base . Fortsett ?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Totalt %d objekter ( er) ble slettet , ble Totalt %d objekter ( r) er oppdatert"
"Total of %d items(s) were successfully published","Totalt %d objekter (s) var vellykket publisert"
"Total of %d items(s) were successfully removed from Google Base","Totalt %d objekter (er) ble fjernet fra Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Totalt %d objekter (er) ble lagret som Inaktive elementer"
"Total of %d product(s) were successfully added to Google Base","Totalt %d produkt ( er) ble lagt til Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan ikke koble til Google Base . Vennligst sjekk Kontoinnstillinger i konfigurasjonen ."
"United Kingdom","Storbritannia"
"United States","USA"
"Update Google Base item when product is updated","Oppdater Google Base element når produktet er oppdatert"
"US Dollar","US Dollar"
"View Available Products","Vis tilgjengelige produkter"
"View Item in Google Base","Vis element i Google Base"
"Yes","Ja"
