"PayByBill Invoice Fee", "Laskutuskulu"
"Cannot retrieve the payment info model object.", "Cannot retrieve the payment info model object."
"Unable to fetch document.", "Dokumenttia ei löydy"
"No invoice found.", "Laskua ei löytynyt"
"Credit check failed.", "Luottotietojen tarkistus epäonnistui"
"You have to verify you credit by clicking the ""Check credit""-button before you can continue.", "Hyväksy ensin luottotietojen tarkistus painamalla ""OK"""
"Unable to place reservation", "Luottovarausta ei voitu tehdä"
"Unable to create invoice", "Laskua ei voitu tallentaa"
"Unable to create creditmemo", "Hyvityslaskua ei voitu tallentaa"
"No quote found.", "Tarjousta ei löytynyt"
"No address found.", "Osoitetta ei löytynyt"
"No order found.", "Tilausta ei löytynyt"
"You only get credit of %s", "Voit tehdä ostoksia % asti"
"You have been approved a credit limit of %s","Sinulle on myönnetty limiitti % asti"
"Norway", "Norja"
"Sweden", "Ruotsi"
"Denmark", "Tanska"
"Finland", "Suomi"
"Netherlands", "Hollanti"
"Germany", "Saksa"
"PayByBill Customer Number","PayByBill asiakasnumero"
"Rating","Rating"
"Reservation ID","Varaus ID"
"Fetch the invoice","Hae alkuperäinen lasku"
"Running credit check, please wait ...", "Tehdään luottotietokyselyä, odota.."
"Check credit", "OK"
"Your credit information has been approved.", "Luottokäsittely hyväksytty"
"Our sales conditions", "Myyntiehtomme"
"Unable to fetch terms and conditions. Please try again.", "Myyntiehtojen haku epäonnistui. Yritä uudelleen" 
"Accept our terms and conditions", "Hyväksyn PayByBill sopimusehdot"
"Unable to cancel reservation. Check PayByBill backend manually.", "Varauksen purku epäonnistui. Kirjaudu PayByBill sivulle ja tee manuaalinen peruutus"
"%s days credit. Always get the goods home before you pay.","%s päivän maksuaika. Saat aina tuotteet kotiisi ennen kuin lasku erääntyy"
"More information.", "Lisätietoa"
"Split the payment.", "Jaa maksu eriin (vain yksityishenkilöt)"
"Social security number", "Henkilötunnus"
"Your credit check failed. Please check that the information you gave was correct.", "Luottotietojen tarkistus epäonnistui. Tarkista antamasi tiedot."
"You must specify a housenumber", "Ilmoita huoneistonumero"
"You must specify birth date in format DD.MM.YYYY or DDMMYYYY", "Ilmoita syntymäaika muodossa PP.KK.VVVV tai PPKKVVVV"
"You must specify a social security number.", "Ilmoita henkilötunnus"
"An invalid country code is choosen", "Virheellinen maatunnus"
"You must specify a postalcode", "Postinumero ilmoitettava"
"You have to specify your email address", "Sähköposti ilmoitettava"
"price_example","Hintaesimerkki; 500 eur, 12 kk, tod. vuosikorko 41,07%, hinta kuluineen 599,57 eur."
