"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Atención </strong>: Captcha mayúsculas y minúsculas." 
"After number of attempts to login","Después de varios intentos de login" 
"Always","Siempre" 
"CAPTCHA","Imagen CAPTCHA" 
"CAPTCHA Timeout (minutes)","CAPTCHA de espera (minutos)" 
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA para ""Crear usuario"" y ""He olvidado mi contraseña"" formas siempre está activada si se ha elegido" 
"Case Sensitive","Case Sensitive" 
"Displaying Mode","Modo Viendo" 
"Enable CAPTCHA in Admin","Activar CAPTCHA de en Admin" 
"Enable CAPTCHA on Frontend","Activar CAPTCHA en Frontend" 
"Font","Fuente" 
"Forms","Formularios" 
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si se especifica 0, CAPTCHA en el formulario de acceso estará siempre disponible." 
"Incorrect CAPTCHA.","Imagen CAPTCHA incorrecta." 
"Number of Symbols","El número de los símbolos" 
"Number of Unsuccessful Attempts to Login","El número de intentos fallidos de inicio de sesión" 
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor, especifique 8 símbolos a lo sumo. Rango permitido (por ejemplo, 3-5)" 
"Please type the letters below","Por favor, escriba las letras de abajo" 
"Please type the letters from the image:","Por favor, escriba las letras de la imagen:" 
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor, use sólo letras (az o AZ) y números (0-9) en este campo. Sin espacios u otros caracteres están permitidos. <br /> Caracteres de aspecto similar (por ejemplo,""i"",""l"", ""1"") disminuir la probabilidad de reconocimiento correcto por el cliente ". 
"Reload captcha","Actualizar Captcha" 
"Symbols Used in CAPTCHA","Símbolos utilizados en CAPTCHA de"
